,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,max_total_run_x,crr,rrr,results,total_run_x
612,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow,127,125,9,,-0.0,6.1,0,127.0
613,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow,127,124,8,,-0.0,6.15,0,127.0
614,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow,127,123,7,,-0.0,6.2,0,127.0
615,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow,126,119,3,,6.0,6.35,0,127.0
616,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow,126,119,2,,6.0,6.35,0,127.0
617,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow,126,118,1,,3.0,6.41,0,127.0
618,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow,126,117,0,,2.0,6.46,0,127.0
619,Gujarat Titans,Delhi Capitals,Ahmedabad,131,125,9,,-0.0,6.29,0,131.0
620,Gujarat Titans,Delhi Capitals,Ahmedabad,131,124,8,,-0.0,6.34,0,131.0
621,Gujarat Titans,Delhi Capitals,Ahmedabad,131,123,7,,-0.0,6.39,0,131.0
622,Gujarat Titans,Delhi Capitals,Ahmedabad,131,122,6,,-0.0,6.44,0,131.0
623,Gujarat Titans,Delhi Capitals,Ahmedabad,131,121,5,,-0.0,6.5,0,131.0
624,Gujarat Titans,Delhi Capitals,Ahmedabad,131,119,3,,0.0,6.61,0,131.0
625,Gujarat Titans,Delhi Capitals,Ahmedabad,131,118,2,,0.0,6.66,0,131.0
626,Gujarat Titans,Delhi Capitals,Ahmedabad,131,117,1,,0.0,6.72,0,131.0
627,Gujarat Titans,Delhi Capitals,Ahmedabad,131,116,0,,0.0,6.78,0,131.0
628,Mumbai Indians,Punjab Kings,Chandigarh,215,125,9,,-0.0,10.32,1,215.0
629,Mumbai Indians,Punjab Kings,Chandigarh,215,124,8,,-0.0,10.4,1,215.0
630,Mumbai Indians,Punjab Kings,Chandigarh,215,123,7,,-0.0,10.49,1,215.0
631,Mumbai Indians,Punjab Kings,Chandigarh,209,119,3,,36.0,10.54,1,215.0
